user_id	timestamp	action_type	poi_id	geographic_id	administrative_region_id	weather	travel_mode	via_poi_id
1	3750257637	2	4535488	35820221	1554	14	0	
1	305802362	2	7022738	17529650	1554	2	0	
1	305824082	3	4535488	17529650	1554	2	0	
1	3062462582	2	1877858	7021523	3111	14	0	
1	305823082	2	4535488	17529650	1554	2	0	
1	3061686784	2	952281	7021523	3111	14	0	
1	4811345099	2	5154790	15583308	1554	2	0	
1	459921401	2	4535488	35820221	1554	14	0	
1	3600008491	2	1512325	45184848	1554	9	0	
1	2795329093	3	2164580	30526019	3111	14	0	
1	3750241000	1	4535488	35820221	1554	14		
1	4811346099	3	5154790	15583308	1554	2	0	
1	1277423000	1	1512325	15280445	1554	9		
1	1154544821	3	4535488	42699967	1554	9	0	
1	3059692241	3	6507939	37851298	3111	14	0	
1	1181567615	2	1512325	47727668	1554	2	0	
1	3749867717	3	7022738	41204571	1554	14	0	
1	2795328093	2	2164580	30526019	3111	14	0	
1	3580976932	2	1239109	41204571	1554	2	0	
1	465396000	1	1512325	15583308	1554	2		
1	4812391856	2	1512325	2924169	1554	14	0	
1	2971347622	2	6507939	41204571	1554	19	0	
1	305642648	3	7022738	41204571	1554	2	0	
1	1154543821	2	4535488	42699967	1554	9	0	
1	3061693000	2	952281	7021523	3111	14	2	
4	5473939000	1	3501334	48861363	433	9		
4	5473942227	2	3501334	48861363	433	9	0	
4	5920626000	1	2799090	11674256	433	2		
4	4482343502	2	725856	47420547	1826	9	0	
4	4816655000	2	4082956	47420547	1826	2	2	
4	5151424000	1	737393	47420547	1826	9		
4	3163373147	2	5529266	26459559	1826	14	1	
4	5158218000	2	5301871	45066763	1392	9	2	
4	5339990000	2	4988023	5606961	1826	14	2	
4	4816652000	1	4082956	47420547	1826	2		
4	4068115387	0	6197694	47420547	1826	2		
4	1437528000	2	123895	31507382	174	14	2	
4	3397527000	2	2766076	9669545	1826	14	2	
4	5158216000	1	5301871	45066763	1392	9		
4	4208773000	1	378849	47420547	1826	13		
4	4471092022	2	6007499	47420547	1826	9	4	
4	5862441000	2	609643	9669545	1826	9	2	
4	6392027437	2	1957384	47420547	1826	9	4	
4	3190471000	2	1597516	47420547	1826	14	2	
4	2504020000	2	7129932	9669545	1826	14	2	
4	3190602000	2	297320	40108568	432	14	2	
4	3190596000	2	297320	9669545	1826	14	2	
4	3397446000	1	6748802	4275165	1826	14		
4	2573336000	1	7129932	9669545	1826	14		
4	5158215946	0	5301871	45066763	1392	9		
4	3190473000	2	1597516	40108568	432	14	2	
4	4816823000	1	4082956	47420547	1826	2		
4	3190647000	2	1597516	40108568	432	14	2	
4	4471091864	2	6007499	47420547	1826	9	4	
4	3190641000	2	1597516	9669545	1826	14	2	
4	3190637000	1	1597516	9669545	1826	14		
4	5862419000	1	609643	9669545	1826	9		
4	5472699000	2	3501334	47420547	1826	9	2	
4	3190003000	2	5400782	47420547	1826	14	2	
4	3397449000	2	6748802	4275165	1826	14	2	
4	4881655359	0	5848126	19859471	174	9		
4	2573342000	2	7129932	47420547	1826	14	2	
4	5151437000	2	737393	47420547	1826	9	2	
4	943192000	1	5225675	47420547	1826	6		
4	943330000	2	5225675	30003564	1826	6		
4	5419164000	2	3501334	47420547	1826	9	2	
4	4471084581	2	6007499	47420547	1826	9	1	
4	5339987000	1	4988023	5606961	1826	14		
4	2504016000	1	7129932	9669545	1826	14		
4	5473538000	1	3501334	43668491	1826	9		
4	4482306000	1	725856	47420547	1826	9		
4	6076663316	2	3501334	26459559	1826	9	4	
4	1437525000	1	123895	31507382	174	14		
4	3189965000	1	5400782	47420547	1826	14		
4	3187191000	1	6180616	5606961	1826	14		
3	2644163798	3	5611244	27876333	540	2	4	
3	6166569519	2	6134985	42779502	203	20	4	
3	3777256480	2	461022	14052276	1709	14	4	
3	421490636	2	4952478	29380269	835	2	4	
3	6171276985	2	5259548	21071385	835	20	4	
3	1252143146	3	6547132	44852992	2974	14	4	
3	1849933455	2	6557523	23511913	835	9	4	
3	2139362969	2	141462	2439160	1709	14	4	
3	3259355397	2	5604500	39156308	1709	9	4	
3	2135072639	3	4926092	7937665	2974	14	4	
3	1853696252	2	4143404	51418676	3111	9	4	
3	1147844915	3	3188444	7514324	1709	14	4	
3	1160151052	2	4575589	39590145	2974	9	4	
3	1853687000	1	4143404	51418676	3111	9		
3	6371744926	2	2602646	4111869	835	14	4	
3	2994447215	2	1827327	29309246	3246	14	4	
3	2648501000	1	1149247	414419	1709	14		
3	422615696	2	4000953	45848886	835	2	4	
3	1241800260	2	895572	31836276	3111	6	4	
3	1581189893	2	5921467	16800515	2974	9	4	
3	1242616000	1	6840239	31836276	3111	6		
3	766118931	2	2824505	28091731	2974	14	4	
3	6378941000	1	4816935	49609370	835	14		
3	1149760698	2	1156146	45604868	835	14	4	
3	1235456565	2	268832	24161112	203	19	4	
3	2442867553	2	2970348	14276880	3123	14	4	
3	2139357000	1	141462	2439160	1709	14		
3	1235456358	2	268832	24161112	203	19	4	
3	3261601582	3	4643261	6792870	835	9	4	
3	6368006201	2	5969118	23372841	1709	14	4	
3	4985275103	2	4426094	4111869	835	2	4	
3	4906455642	3	4816935	39060116	2974	9	4	
3	1253681467	3	1776284	31888519	2974	14	4	
3	1234472973	2	268832	51024751	3123	6	4	
3	2448857654	2	1900415	15361911	2974	19	4	
3	6856134208	3	7164864	45884397	2974	9	4	
3	6016764722	2	2146612	1888542	2974	14	4	
3	5251199898	2	4643261	49444631	1709	20	4	
3	1145194873	2	414426	44626381	2774	14	4	
3	5244044426	2	4143404	45884397	2974	14	4	
3	2446406200	2	2147174	30463277	2974	6	4	
3	4968318684	2	6758418	33481729	2774	9	4	
3	6438179000	1	7079559	45884397	2974	14		
3	2994467000	1	76701	29309246	3246	14		
3	2447552469	3	6940131	26434969	2974	6	4	
3	1146951204	3	7157362	14654856	1709	14	4	
3	3693085452	2	2750824	4397182	2422	9	4	
3	1166992780	2	6521483	27235868	1121	9	4	
3	6171269332	2	5259548	21071385	835	20	4	
3	3696434041	3	3528005	21592202	2422	9	4	
2	564878000	1	6729135	49027645	898	9		
2	564891115	3	6729135	49027645	898	9	4	
2	71075813	2	1072211	27161001	1571	2	4	
2	564405885	2	6507930	34351228	898	9	4	
2	3504278707	2	1115292	16011884	898	14	4	
2	1504369677	2	3673230	29379580	898	14	4	
2	564890115	2	6729135	49027645	898	9	4	
2	5247548076	2	918750	42179966	898	20	4	
2	466126018	3	7053657	33321021	898	9	4	
2	71071000	1	1072211	27161001	1571	2		
2	466125018	2	7053657	33321021	898	9	4	
2	1450799000	1	50863	18492102	898	14		
